Feature Sanity Check Results:
| Feature             |   Correlation (r) |   P-value |   Mutual Info |
|:--------------------|------------------:|----------:|--------------:|
| humidity_14d_avg    |                 0 |         1 |        0.0088 |
| temp_14d_avg        |                 0 |         1 |        0.0009 |
| precip_14d_sum      |                 0 |         1 |        0.0008 |
| fuel_moisture_proxy |                 0 |         1 |        0.0008 |
| aspect_deg          |                 0 |         1 |        0.0002 |
| ndvi                |                 0 |         1 |        0.0002 |
| slope_deg           |                 0 |         1 |        0.0001 |
| elevation_m         |                 0 |         1 |        0      |
| wind_speed_14d_avg  |                 0 |         1 |        0      |
| nbr                 |                 0 |         1 |        0      |
